country,gdpPercap
Kuwait,65332.91047166666
Switzerland,27074.334405
Norway,26747.30655416667
United States,26261.151346666666
Canada,22410.746339999998
Netherlands,21748.852208166663
Denmark,21671.824887916668
Germany,20556.68443275
Iceland,20531.4222725
Austria,20411.916279333334
